Window_size : 6
Entropy 1 : 0.528321
Entropy 2 : 0.5
Entropy 3 : 0.5
Entropy 4 : 0.5
Entropy 5 : 0.5
Entropy 6 : 0.5
Entropy 7 : 0.389975
Entropy 8 : 0.5
Entropy 9 : 0.5
Entropy 10 : 0.5
Entropy 11 : 0.389975
Entropy 12 : 0.389975
Entropy 13 : 0.389975
Entropy 14 : 0.219195
Entropy 15 : 0.389975
Entropy 16 : 0.389975
Entropy 17 : 0.389975
Entropy 18 : 0.389975
Entropy 19 : 0.389975
Entropy 20 : 0.5
Entropy 21 : 0.389975
Entropy 22 : 0.219195
Entropy 23 : 0.219195
Entropy 24 : 0.389975
Entropy 25 : 0.5
Entropy 26 : 0.5
Entropy 27 : 0.5
Entropy 28 : 0.5
Entropy 29 : 0.528321
Entropy 30 : 0.5
Entropy 31 : 0.389975
Entropy 32 : 0.389975
Entropy 33 : 0.389975
Entropy 34 : 0.389975
Entropy 35 : 0.389975
Entropy 36 : 0.5
Entropy 37 : 0.528321
Entropy 38 : 0.528321
Entropy 39 : 0.430827
Entropy 40 : nan
Entropy 41 : nan
Entropy 42 : 0.430827
Entropy 43 : 0.430827
Entropy 44 : 0.430827
Entropy 45 : 0.430827
Entropy 46 : 0.430827
Entropy 47 : 0.528321
Entropy 48 : 0.430827
Entropy 49 : 0.430827
Entropy 50 : 0.430827
Entropy 51 : 0.430827
Entropy 52 : 0.430827
Entropy 53 : nan
Entropy 54 : nan
Entropy 55 : 0.430827
Entropy 56 : 0.528321
Entropy 57 : 0.528321
Entropy 58 : 0.528321
Entropy 59 : 0.5
Entropy 60 : 0.389975
Entropy 61 : 0.389975
Entropy 62 : 0.5
Entropy 63 : 0.5
Entropy 64 : 0.389975
Entropy 65 : 0.389975
Entropy 66 : 0.389975
Entropy 67 : 0.389975
Entropy 68 : 0.219195
Entropy 69 : 0
Entropy 70 : 0
Entropy 71 : 0.219195
Entropy 72 : 0.389975
Entropy 73 : 0.389975
Entropy 74 : 0.5
Entropy 75 : 0.5
Entropy 76 : 0.5
Entropy 77 : 0.5
Entropy 78 : 0.5
Entropy 79 : 0.5
Entropy 80 : 0.5
Entropy 81 : 0.528321
Entropy 82 : 0.528321
Entropy 83 : 0.528321
Entropy 84 : 0.528321
Entropy 85 : 0.528321
Entropy 86 : 0.5
Entropy 87 : 0.389975
Entropy 88 : 0.389975
Entropy 89 : 0.219195
Entropy 90 : 0.219195
Entropy 91 : 0.219195
Entropy 92 : 0.389975
Entropy 93 : 0.5
Entropy 94 : 0.5
Entropy 95 : 0.528321
Entropy 96 : 0.5
Entropy 97 : 0.528321
Entropy 98 : 0.5
Entropy 99 : 0.5
Entropy 100 : 0.528321
